"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","setUp","Suite","2026-04-17","broken","2026-04-17","org.uiframework.testcases.TC01_launch_and_verify","Tests","org.uiframework.testcases.TC01_launch_and_verify","setUp"
"verify the swiggy launches and home page title","4","test_launchswiggyANDverifyHomePage","Suite","2026-04-17","skipped","2026-04-17","org.uiframework.testcases.TC01_launch_and_verify","Tests","org.uiframework.testcases.TC01_launch_and_verify","test_launchswiggyANDverifyHomePage"
